Engine	Calibration_variants_non_VUS	Accuracy	Sensitivity	Specificity	Strong_benign_LE	Moderate_benign_LE	Supporting_benign_LE	VUS	Supporting_pathogenic_GE	Moderate_pathogenic_GE	Strong_pathogenic_GE
BLOSUM	63334	8.00%	0.00%	13.60%		-4	-2				
BayesDel_addAF	75323	89.20%	90.50%	87.70%	-0.238	-0.0746	-0.00775		0.16	0.219	0.421
BayesDel_noAF	75323	84.80%	85.70%	83.80%	-0.476	-0.204	-0.0404		0.133	0.303	0.521
CADD	120127	84.30%	78.40%	87.40%	16.1	22	23.2		25.6	28.8	33
DANN	74945	25.70%	8.30%	45.80%	0.478	0.915	0.974		0.999		
DEOGEN2	56225	70.40%	62.40%	76.60%	0.0269	0.258	0.402		0.795	0.875	0.969
EIGEN	68158	72.70%	75.40%	69.60%	-0.694	-0.0295	0.189		0.683	0.861	1.04
EIGEN-PC	68158	71.20%	73.40%	68.50%	-0.857	-0.0618	0.224		0.625	0.8	0.976
EVE	35908	66.70%	73.30%	58.20%		0.162	0.255		0.603	0.723	0.905
FATHMM	58962	46.40%	36.70%	53.70%		-1.42	0.46		4.4	5.33	
FATHMM-MKL	74945	56.10%	63.70%	47.40%	0.06	0.515	0.758		0.969	0.994	
FATHMM-XF	55094	63.50%	58.80%	67.00%	0.105	0.303	0.545		0.896	0.95	
LIST-S2	59444	53.10%	43.30%	60.40%		0.747	0.85		0.972	0.989	
LRT	54453	59.90%	60.00%	59.80%		-0.00687	-0.000435		0		
M-CAP	50457	70.10%	71.10%	69.00%	0.00565	0.0366	0.0854		0.29	0.619	
MVP	59831	72.80%	68.00%	76.40%	0.261	0.661	0.796		0.943	0.967	
MaxEntScan	43027	94.80%	91.60%	97.00%					4.24	5.96	7.65
MetaLR	59382	65.60%	60.60%	69.50%	0.0376	0.206	0.361		0.832	0.91	0.985
MetaRNN	60582	91.00%	89.00%	92.40%	0.108	0.267	0.43		0.748	0.841	0.939
MetaSVM	59620	69.70%	62.00%	75.50%		-0.677	-0.286		0.794	0.901	
MitImpact	1325	75.60%	51.40%	86.80%			0.51		0.54	0.67	
MitoTip	731	82.20%	77.40%	88.70%			9.44		9.56	15.2	
MutPred	32637	74.10%	81.60%	56.50%		0.267	0.403		0.614	0.715	0.861
MutationAssessor	53180	66.60%	59.30%	72.40%		1.19	2.01		2.91	3.5	
MutationTaster	75324	17.20%	0.00%	36.80%		0.979	1				
PROVEAN	59307	67.90%	64.20%	70.70%		1.73	2.29		4.38	6.67	
Polyphen2-HDIV	54708	60.20%	58.70%	61.40%	0	0.163	0.768		1		
Polyphen2-HVAR	54708	59.40%	49.70%	67.10%	0.001	0.112	0.489		0.997	1	
PrimateAI	57863	54.10%	48.00%	58.90%		0.428	0.519		0.789	0.895	
REVEL	59620	82.60%	78.90%	85.40%	0.133	0.351	0.471		0.685	0.798	0.946
SIFT	58365	65.80%	68.10%	64.00%		-0.095	-0.03		-0.001		
SIFT4G	58370	62.00%	59.90%	63.60%		-0.156	-0.063		-0.002		
phastCons100way											
vertebrate	75805	25.70%	0.00%	54.80%		0.424	0.998				
phyloP	63334	61.80%	54.20%	67.10%	-1.04	1.08	3.58		7.52	9.88	
scSNV-ADA	49904	96.60%	96.10%	96.80%					0.957813	0.999322	0.999925
scSNV-RF	49415	97.30%	97.30%	97.20%					0.584	0.832	0.994